Format,Revised_Format,Target_format
Mexican and Spanish language music and oldies,Spanish,No
Grupero/Cumbia,Other,No
Jazz/Urban Gospel,Jazz,No
Variery,Variety,No
Country Variety,Country,Yes
Spanish News and Talk,Spanish,No
Mixed,Variety,No
Real Country,Country,Yes
Spanish-language/Tropical,Spanish,No
"Pop, Rock, Rap",Rock,No
Christian (Family Life Network),Religious,No
"Top 40, Jazz, Sports, News, Latino, Rap",Variety,No
Adult contemporary & News,Talk,No
Soft adult contemporary/Oldies),Contemporary,No
"Public radio, Adult album alternative",Alternative,No
Adult album alternative/Talk,Alternative,No
Classical music and News,Classical,No
Ethnic/Chinese & Spanish,Spanish,No
CHR/College,Other,No
Rhythmic AC-leaning Top 40 (CHR),Top40,No
Classic Hits/1980s,Oldies,No
Adult Top 40/oldies,Oldies,No
"Variety, Educational",Variety,No
Catholic Talk/EWTN,Religious,No
"Alternative rock, Hip-hop, Classic rock",Alternative,No
News/Talk/Classical music,Talk,No
Ethnic/South Asian,Asian,No
"Full service, ""Free-Format"", College",Other,No
Ethnic/Ukrainian,Ethnic,No
Ethnic/Indian,Ethnic,No
Spanish Christian Music & Teaching,Religious,No
Tropical Top 40,Top40,No
Spanish Sports (ESPN Deportes),Spanish,No
Christian (Go Mix! Radio),Religious,No
African-American Variety,Urban,No
Christian Teaching & Talk,Religious,No
Classical music/news/talk,Classical,No
Classical music & public radio,Classical,No
Classical/Smooth Jazz/Beach Music,Jazz,No
Gospel/Oldies,Religious,No
Rhythmic Hot AC/Dance Hits,Urban,No
Beach music,Other,No
Gospel/News/Talk/Urban AC,Religious,No
Gospel/Jazz/Urban,Religious,No
"News/Talk, NPR",Talk,No
Black Gospel/Talk,Religious,No
Spanish Language/Latino,Spanish,No
Oldies/Beach music/Classic country/R & B,Country,Yes
"Adult contemporary, Oldies, & Carolina Beach Music",Contemporary,No
Talk radio/Adult contemporary,Contemporary,No
Classical/News/Talk,Classical,No
"Jazz, Public radio",Jazz,No
Album Adult Alternative/Americana,Alternative,No
"Spanish-language (""La Raza"")",Spanish,No
Country/Americana/Bluegrass,Country,Yes
Urban/Gospel,Religious,No
Spanish-language,Spanish,No
Urban/Urban AC,Urban,No
Urban Contemparary Gospel,Religious,No
Southern gospel/Christian,Religious,No
Oldies/Adult standards,Oldies,No
Urban adult hits,Urban,No
Gospel/Christian rock,Religious,No
Spanish language,Spanish,No
R&B/Smooth Jazz,Jazz,No
News/Talk/Classic Hits/CHR/Oldies,Talk,No
Non-Commercial Education,Other,No
Religious (Your Network of Praise),Religious,No
Catholic (Real Presence Radio),Religious,No
Variety/Alternative/Eclectic,Alternative,No
Classic hits/Talk,Talk,No
College/Alternative,Alternative,No
Public radio (NPR),Talk,No
Public radio/jazz (NPR),Talk,No
Christian (Moody),Religious,No
College/jazz,Jazz,No
"Christian (Family Stations, Inc.)",Religious,No
Christian (BBN),Religious,No
Student radio/modern rock,Rock,No
Urban AC/talk,Urban,No
Public radio/classical (NPR),Talk,No
Student radio/jazz,Jazz,No
Ethnic/Russian,Ethnic,No
"Country (""Froggy"")",Country,Yes
Sports (SNR),Sports,Yes
Catholic (EWTN),Religious,No
Radio Maria (KJMJ),Other,No
News/talk (SRN),Talk,No
Christian (SRN),Religious,No
Christian (Catholic),Religious,No
Spanish music,Spanish,No
Talk/ethnic,Talk,No
Christian (VCY America),Religious,No
Classic hits/Rock AC,Rock,No
Oldies/ethnic,Oldies,No
College/indie rock,Rock,No
Active rock/Hot talk,Rock,No
Christian (KNYD),Religious,No
Christian Rock (Air1),Religious,No
Top 40/classic hits,Top40,No
Public radio/News/talk (NPR),Talk,No
Christian (Family Radio),Religious,No
Public radio/community,Talk,No
Christian Talk (AFR),Religious,No
Hot AC/Adult Top 40,Top40,No
College/jazz/alternative,Jazz,No
Alternative rock/oldies,Alternative,No
College/AOR,Other,No
Spanish AC/Regional Mexican,Spanish,No
Traditional Country,Country,Yes
Top 40 (CHR)/Hot AC,Top40,No
College/top 40,Top40,No
American Family Radio / Religious Talk,Religious,No
American Family Radio / Inspirational,Religious,No
Air1 / Christian Contemporary,Religious,No
"NPR / News/Talk, Jazz/Blues",Talk,No
"High Plains Public Radio / News, Classical, Jazz",Talk,No
Catholic Spanish,Religious,No
Christian/Christian Talk and Teaching,Religious,No
"Country, Contemporary Hit Radio",Country,Yes
Radio 74 Internationale / Religious,Religious,No
"Regional Mexican, Spanish & Oldies",Spanish,No
CSN International / Religious,Religious,No
Christian Contemporary/Christian Talk and Teaching,Religious,No
Album-oriented Rock (AOR),Rock,No
K-Love / Contemporary Christian,Religious,No
Contemporary Christian AC,Religious,No
"NPR / News/Talk, Adult Album Alternative",Talk,No
Classic hits/Classic country,Country,Yes
Bott Radio Network / Christian Talk,Religious,No
K-Love / Christian Contemporary,Religious,No
Soft AC/Classic hits/News/Talk,Variety,No
Ethnic/Slavic,Ethnic,No
Christian radio (CSN International),Religious,No
Russian Christian talk,Religious,No
Russian Christian,Religious,No
Native American,Other,No
Russian-language Christian,Religious,No
Adult Standards/Religious,Religious,No
Religious/CCM,Religious,No
Contemporary Christian (Family Life Network),Religious,No
Indie Rock,Rock,No
Variety hits/Health features,Variety,No
Community/Public radio,Other,No
Brokered Variety,Other,No
Emrrgency Info,Other,No
Spanish/Tropical,Spanish,No
Campus,Other,No
Public radio/Jazz,Jazz,No
Freeform & College,Other,No
Religious/Southern Gospel,Religious,No
Brokered Contemporary Christian,Religious,No
Freeform college radio,Other,No
Southern Gospel/CCM,Religious,No
Religious/Gospel,Religious,No
Contemporary Christian/Christian rock,Religious,No
Rock AC,Rock,No
Easy Listening/AC/Oldies/Alternative,Alternative,No
Sports (SB Nation Radio),Sports,Yes
Religious/Talk,Religious,No
Formatted College Radio,Other,No
Country/Americana,Country,Yes
All-Podcasts,Talk,No
Modern Rock/Sports,Rock,No
News/Talk (simulcasts WPRO/630),Talk,No
"Classical (repeats WCRB/99.5: Lowell, Ma.)",Classical,No
Talk/Business,Talk,No
AAA/Variety,Other,No
Sports talk (WCCP-FM simulcast),Sports,Yes
Tourism Info,Talk,No
Tropical / Latin pop,Latin,No
Rhythmic contemporary hits,Contemporary,No
Public radio; news talk,Talk,No
"News/talk, live sportscasts",Talk,No
Tourist information,Talk,No
Southern gospel and religious,Religious,No
Oldies/beach music,Oldies,No
Christian Pop/Rock,Religious,No
Country (day)/Oldies (night),Country,Yes
Hot Country,Country,Yes
"Classic Country, Farm",Country,Yes
Public affairs,Talk,No
Country/Bluegrass/Americana,Country,Yes
Urban oldies/Classic Soul,Oldies,No
"News, Americana",Talk,No
Smooth & Contemporary Jazz,Jazz,No
"Public, News/Talk",Talk,No
Christian/News/Talk,Religious,No
Blues/Oldies/Jazz,Jazz,No
"Americana, Bluegrass",Bluegrass,Yes
"Country; News, Weather",Country,Yes
Traditional Country/Sports,Country,Yes
Classical; Jazz; News; Talk,Classical,No
Jazz/Blues/Easy Listening,Jazz,No
Classical/Public,Classical,No
Oldies/Sports,Oldies,No
Bible Teaching,Religious,No
Radio Reading Service,Other,No
Oldies/Talk/Personality,Oldies,No
Christian Talk/Brokered,Religious,No
New Country/Texas Red Dirt,Country,Yes
Christian radio //KHCB,Religious,No
Christian radio (Family Life Radio),Religious,No
Spanish Top 40/CHR,Spanish,No
Rhythmic Community Hit Radio,Other,No
Urban contemporary/Community Radio,Contemporary,No
Classic Texas,Oldies,No
CBS Sports,Sports,Yes
Texas country,Country,Yes
Asian/Hindi,Asian,No
Urban Gospel/R&B/Smooth Jazz,Religious,No
Asian,Asian,No
Urban/Hip-Hop,Urban,No
Farm,Other,No
Christian Teaching & Preaching,Religious,No
News/Talk (Public),Talk,No
Business,Talk,No
Country/Red Dirt,Country,Yes
Gold based AC,Other,No
Asian Music/Talk,Asian,No
Classic rock (Simulcast KHPT 106.9),Rock,No
Bible Reading,Religious,No
Spanish Adult Contemporary,Spanish,No
Classic rock (Simulcast 107.5 KGLK),Rock,No
Country (simulcast of KTWL),Country,Yes
Classic country/Americana/Texas Music,Country,Yes
Classic/Active rock,Rock,No
CBS Sports (Simulcast KBED),Sports,Yes
Variety hits (Jack FM),Variety,No
Urban contemporary/Mainstream urban,Contemporary,No
Adult Alternative (Public),Alternative,No
Spanish-language News/Talk,Spanish,No
Religious Talk (AFR,Religious,No
Spanish Pop,Spanish,No
(Sync simulcast KMVL),Other,No
Hip Hop & R&B,R&B_Soul,No
Spanish Norteno,Spanish,No
Hit Country,Country,Yes
Country Gospel,Religious,No
"Religious, Contemporary Christian",Religious,No
"Community, Variety",Other,No
Oldies/Community,Oldies,No
News/Talk/Variety,Talk,No
Latin Mix,Latin,No
College radio/Variety/Urban,Urban,No
All-news radio,Talk,No
Alternative rock/Indie rock,Alternative,No
Classic rock/Country,Country,Yes
College/Oldies/Country/Hip-Hop/Rock & roll,Country,Yes
News/Talk & Sports,Talk,No
College radio/Jazz,Jazz,No
Religious Teaching (AFR,Religious,No
News/Talk/Classical,Talk,No
Asian/Chinese,Asian,No
Country/Oldies,Country,Yes
Classical music/NPR,Talk,No
Adult contemporary / Smooth Jazz,Jazz,No
Country/Regional Mexican,Country,Yes
Urban Gospel/Jazz,Religious,No
Spanish News/Information/Sports,Spanish,No
South Asian Music,Asian,No
Krishna Radio,Other,No
Adult hits/Top 40,Top40,No
Contemporary Hit Radio/Top 40,Contemporary,No
Full service AC (Adult contemporary music),Contemporary,No
Full service AC,Other,No
Classic Country/Americana,Country,Yes
Southern Gospel/Black Gospel,Religious,No
Classic Country/Bluegrass/Americana,Country,Yes
Conservative Religious,Religious,No
Classic Hits/Oldies,Oldies,No
Full Service/Freeform,Other,No
Adult Album Alternative/Alternative Rock,Alternative,No
Chinese News/Talk,Talk,No
Korean Religious,Religious,No
Adult Contemporary/Oldies,Contemporary,No
Adult Standards/Big Band,Oldies,No
Urban talk/Urban oldies,Oldies,No
Black Gospel/Urban Contemporary,Religious,No
Contemporary Christian/Christian Rock/Christian Hip Hop,Religious,No
Black Gospel/Religious,Religious,No
Classic Country/Talk,Country,Yes
Positive Country,Country,Yes
Southern Gospel/Contemporary Christian,Religious,No
Urban Contemporary/Black Gospel,Religious,No
Oldies/Carolina Beach,Oldies,No
Full Service/Classic Hits,Oldies,No
Brokered Foreign language,Other,No
Dance Top 40,Top40,No
Christian talk (Spanish language),Religious,No
News/Talk and Music,Talk,No
Unknown (Spanish language),Spanish,No
News/Talk and Public affairs,Talk,No
Regional Mexican and Variety,Spanish,No
Unknown (Korean language),Other,No
Worship music (Air 1),Religious,No
Public radio and Jazz,Jazz,No
News/Talk and Music (Indian languages),Talk,No
Religious (Radio 74 International),Religious,No
Classic Hits/Classic Rock,Rock,No
Classic Jazz/Blues,Jazz,No
Country/Bluegrass/Southern Gospel,Religious,No
News/Talk/Country,Talk,No
Southern gospel/Positive Country,Religious,No
Eclectic Freeform,Other,No
WPR Ideas,Other,No
Variety / Community radio,Variety,No
School Radio / Adult album alternative,Alternative,No
Christian / Classical,Religious,No
Religious (Radio 74),Religious,No
Catholic (Relevant Radio),Religious,No
WPR News & Classical,Talk,No
News Talk Sports,Talk,No
Religious (3ABN),Religious,No
Blues / Reggae / Eclectic,Blues,Yes
Talk / Full service,Talk,No
Full service / Jazz,Jazz,No
Oldies / Sports,Oldies,No
WPR Ideas & Alternative,Alternative,No
School Radio / WPR Ideas,Other,No
Full service / Polka,Other,No
Hispanic CHR,Other,No
Contemporary Christian (Pilgrim Radio),Religious,No
"Hits of the 80s, 90's and Now",Oldies,No
News/Talk & Country Music,Talk,No
Soft adult contemporary/Talk,Contemporary,No
